2021-02-19,Bosnia and Herzegovina,"4,962
","127,135
"
2021-02-19,Bahrain,"411
","115,057
"
2021-02-19,Algeria,"2,943
","110,894
"
2021-02-19,Kenya,"1,807
","103,615
"
2021-02-19,North Macedonia,"3,018
","98,174
"
2021-02-19,Albania,"1,617
","96,838
"
2021-02-19,Puerto Rico,"1,940
","91,047
"
2021-02-19,China,"4,636
","89,806
"
2021-02-19,South Korea,"1,550
","86,128
"
2021-02-19,Kyrgyzstan,"1,447
","85,689
"
2021-02-19,Uzbekistan,"622
","79,497
"
2021-02-19,Latvia,"1,508
","78,643
"
2021-02-19,Sri Lanka,"422
","78,420
"
2021-02-19,Ghana,"565
","78,271
"
2021-02-19,Zambia,"991
","72,467
"
2021-02-19,Montenegro,"926
","70,658
"
2021-02-19,Norway,"607
","67,498
"
2021-02-19,Kosovo,"1,544
","64,095
"
2021-02-19,Singapore,"29
","59,809
"
2021-02-19,El Salvador,"1,776
","58,546
"
2021-02-19,Afghanistan,"2,428
","55,518
"
2021-02-19,Estonia,"514
","55,295
"
2021-02-19,Luxembourg,"619
","53,562
"
2021-02-19,Mozambique,"571
","53,527
"
2021-02-19,Finland,"725
","52,209
"
2021-02-19,Uruguay,"558
","50,752
"
2021-02-19,Cuba,"282
","41,688
"
2021-02-19,Uganda,"331
","40,154
"
2021-02-19,Namibia,"389
","36,225
"
2021-02-19,Zimbabwe,"1,420
","35,543
"
2021-02-19,Cyprus,"227
","32,828
"
2021-02-19,Senegal,"781
","32,099
"
2021-02-19,Cameroon,"479
","32,098
"
2021-02-19,Ivory Coast,"179
","31,365
"
2021-02-19,Malawi,"984
","29,837
"
2021-02-19,Australia,"909
","28,912
"
